Variable:,pr
Country:,Thailand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,13.77,6.64,33.33,81.99,175.83,159.60,245.37,288.00,329.90,173.75,48.92,24.62
1963,9.91,8.24,36.38,54.31,109.58,235.16,241.61,273.53,300.82,238.57,123.03,28.88
1964,16.42,18.91,32.19,77.73,299.65,161.35,229.57,237.79,308.90,196.38,73.40,32.09
1965,7.26,40.71,36.83,80.99,211.97,205.74,161.06,296.57,274.94,152.82,72.16,52.24
1966,25.47,24.67,40.71,59.12,325.69,185.66,216.24,322.20,236.37,166.10,91.51,61.16
1967,39.81,13.82,12.12,101.36,191.08,165.57,200.28,221.46,299.53,118.97,73.30,11.75
1968,9.34,24.40,23.25,120.17,200.23,248.87,199.51,223.75,234.95,115.05,40.12,27.34
1969,44.07,7.27,45.07,62.67,186.72,239.37,230.11,232.85,317.45,164.49,80.16,22.34
1970,18.70,18.06,56.30,101.42,235.32,309.51,230.42,334.05,284.86,132.93,73.85,65.71
1971,5.31,24.19,36.69,68.49,231.07,227.66,227.80,331.64,232.35,156.72,48.88,45.50
1972,3.83,19.73,38.53,121.87,80.66,241.40,189.79,220.59,284.96,182.68,114.88,51.00
1973,6.87,3.83,61.55,43.12,192.15,213.87,248.38,246.77,303.18,111.87,110.35,38.21
1974,9.93,10.12,56.79,134.52,182.26,169.16,205.47,306.67,239.39,212.54,117.44,31.35
1975,78.13,24.48,34.75,39.71,233.87,226.36,218.28,307.54,245.83,183.32,84.47,42.68
1976,1.46,20.62,37.76,81.93,213.02,150.93,250.55,295.41,265.60,194.20,66.73,15.32
1977,30.64,11.88,27.80,76.36,155.99,123.28,188.54,256.28,285.69,130.08,58.50,27.27
1978,28.48,39.55,24.84,84.24,206.88,195.43,334.30,242.72,309.29,107.10,29.82,16.44
1979,5.16,15.15,3.57,95.41,188.37,255.57,159.23,211.22,245.55,59.15,39.41,10.53
1980,2.46,8.05,35.08,66.72,199.15,308.60,233.33,237.66,308.21,152.63,76.67,35.63
1981,3.35,20.49,26.09,99.54,230.25,205.52,252.59,212.64,197.13,139.60,133.43,27.36
1982,1.62,16.63,46.76,98.25,164.50,203.63,204.42,227.40,302.83,140.10,66.76,26.47
1983,16.65,2.72,15.59,25.47,164.84,217.19,216.85,339.57,239.73,238.66,108.69,40.35
1984,15.25,28.13,31.26,99.07,152.64,230.26,222.26,226.27,242.71,155.41,51.14,44.42
1985,15.83,20.13,28.21,108.71,198.22,182.79,195.17,209.23,264.94,192.55,90.85,26.40
1986,6.47,3.43,8.73,100.50,237.67,176.95,195.46,252.06,234.22,181.37,63.74,30.32
1987,5.35,11.95,40.75,67.43,129.89,232.29,127.98,296.78,280.21,130.86,130.83,34.95
1988,10.33,27.15,20.81,131.83,247.39,256.50,232.70,264.46,233.56,219.97,80.07,12.24
1989,17.31,5.88,48.59,58.06,201.46,186.06,207.37,235.63,213.27,197.90,37.19,6.38
1990,9.06,27.14,60.93,58.98,238.98,176.76,187.46,203.63,232.31,234.25,80.64,15.51
1991,9.66,6.80,29.64,68.27,175.76,176.29,182.14,322.96,233.65,139.79,37.05,37.72
1992,21.42,21.14,3.74,26.18,109.81,186.92,273.57,261.41,220.43,170.84,37.87,32.27
1993,14.91,3.48,61.72,77.62,167.15,139.12,173.03,223.77,249.37,118.24,48.29,45.70
1994,4.15,21.25,89.71,73.61,239.25,299.47,184.25,315.54,250.15,98.91,48.37,22.84
1995,11.76,7.83,35.25,51.78,181.22,202.75,292.97,366.70,262.85,137.49,88.66,23.85
1996,10.19,30.38,43.17,152.63,163.88,239.63,191.19,253.89,335.12,156.86,127.99,43.65
