Variable:,tas
Country:,Thailand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.20,24.07,27.27,29.21,28.43,27.58,27.12,26.79,26.56,26.18,24.82,22.80
1963,20.50,24.48,26.83,28.57,29.49,27.68,26.74,26.97,26.98,26.16,25.55,22.97
1964,23.55,25.09,27.33,29.35,27.78,27.63,27.24,26.97,26.78,26.50,23.58,22.00
1965,21.86,25.52,26.78,28.72,28.42,27.12,27.31,27.12,26.55,26.46,25.20,24.45
1966,24.54,26.13,28.07,29.54,28.06,27.71,27.42,26.92,26.57,26.59,25.14,24.50
1967,22.67,24.51,27.07,28.55,28.33,27.97,27.48,27.12,26.78,25.78,24.98,22.29
1968,23.09,24.49,27.41,27.95,28.14,27.58,27.51,27.26,27.04,26.28,25.75,24.70
1969,24.94,25.67,28.21,29.53,29.14,27.89,26.96,26.99,26.76,26.61,23.99,22.14
1970,23.66,25.10,28.00,28.44,28.41,27.40,27.04,26.63,26.87,26.01,24.51,23.91
1971,21.90,24.20,26.67,28.65,28.17,27.11,26.70,26.63,27.05,25.50,23.03,23.14
1972,22.00,25.37,26.56,27.78,29.62,27.75,27.69,27.13,27.07,27.00,25.70,23.92
1973,23.50,26.33,27.99,29.94,28.61,28.15,27.57,27.17,26.86,26.27,23.91,21.60
1974,22.27,24.07,26.51,28.21,27.85,27.44,27.32,27.00,27.04,26.50,24.77,22.89
1975,23.58,25.48,27.85,29.43,28.06,27.43,27.14,26.99,26.80,26.45,24.39,21.08
1976,22.76,25.30,27.01,28.80,27.58,27.88,27.33,26.66,26.96,26.70,23.66,22.88
1977,23.73,24.02,26.85,28.66,28.29,28.56,27.63,27.36,26.79,26.84,24.39,23.16
1978,24.32,25.29,28.30,29.46,28.62,28.16,27.25,27.16,26.74,26.33,24.87,23.67
1979,25.13,26.62,28.99,29.77,29.13,27.91,28.07,27.47,27.36,26.29,24.52,23.51
1980,23.73,25.86,28.53,30.10,29.46,27.58,27.71,26.98,26.65,26.39,24.98,23.11
1981,22.51,25.45,27.58,28.27,27.78,27.08,26.67,26.84,26.88,26.29,24.68,21.73
1982,22.53,25.51,27.86,28.00,28.53,27.27,26.92,26.38,26.23,26.32,25.75,21.61
1983,22.52,25.87,27.87,30.41,29.28,27.90,27.64,26.91,26.80,26.07,23.50,22.18
1984,22.49,25.80,27.37,29.20,27.95,27.05,26.76,26.83,26.27,25.57,24.85,23.40
1985,23.94,26.07,27.57,28.81,27.65,26.91,26.47,26.78,26.34,25.91,25.18,22.77
1986,22.28,25.30,26.76,28.79,27.74,27.75,27.02,27.15,26.82,26.25,24.69,23.25
1987,24.00,25.76,27.58,29.62,29.60,28.55,28.43,27.88,27.45,27.32,25.96,21.62
1988,24.50,26.65,28.49,29.33,28.48,27.93,27.62,27.48,27.48,26.24,23.92,22.81
1989,24.73,25.54,27.09,29.89,28.75,27.74,27.79,27.50,27.33,26.48,25.12,22.86
1990,24.94,26.36,27.53,29.80,28.65,28.18,27.70,27.94,27.46,26.75,25.51,23.80
1991,25.26,25.90,29.01,29.88,29.53,28.21,27.97,27.16,27.47,26.43,24.71,23.83
1992,22.93,25.36,28.32,30.55,30.10,28.43,27.58,27.39,27.39,25.53,23.87,23.34
1993,23.44,24.84,27.82,29.18,29.14,28.67,28.26,27.40,27.25,26.56,25.28,23.13
1994,24.50,27.08,27.09,29.72,28.68,27.59,27.32,27.09,27.28,25.93,24.86,24.76
1995,24.10,24.81,28.06,29.86,29.03,28.56,27.49,26.92,27.23,26.52,25.12,22.76
1996,23.90,24.22,27.82,28.38,27.83,27.68,27.42,27.28,26.67,26.40,25.43,22.79
1997,23.12,25.25,27.37,27.98,29.03,28.71,27.76,27.49,27.15,27.08,26.00,25.39
1998,25.41,27.02,29.11,30.07,29.90,28.87,28.13,27.76,27.18,27.08,25.46,24.17
1999,24.25,25.78,28.18,28.11,27.30,27.43,27.46,27.24,26.96,26.42,25.17,21.40
2000,24.50,24.87,27.47,28.34,27.87,27.42,27.28,27.50,26.88,26.79,24.80,24.69
2001,25.31,26.18,27.19,30.45,27.89,27.50,27.47,27.30,27.35,26.72,23.71,23.53
2002,23.64,26.05,27.74,29.37,28.15,27.95,27.84,26.94,26.61,26.68,25.56,25.13
2003,23.47,25.79,27.07,29.52,28.96,27.84,27.38,27.51,26.97,26.87,26.07,23.20
2004,24.07,24.82,28.23,29.77,28.37,27.51,27.22,27.29,26.92,26.47,26.01,23.07
2005,23.82,27.07,27.49,29.38,29.05,28.10,27.47,27.33,27.02,26.78,25.59,23.30
2006,23.97,26.24,28.10,28.77,27.71,27.83,27.42,27.07,26.95,26.85,26.36,23.82
2007,23.89,25.65,28.32,29.08,27.60,28.27,27.45,27.24,27.12,26.27,24.16,24.66
2008,24.11,24.53,27.37,28.76,27.47,27.46,27.23,27.21,26.89,26.93,24.70,22.88
2009,22.27,26.50,27.51,28.82,27.93,27.74,27.36,27.79,27.32,27.02,25.66,24.43
2010,24.87,27.00,28.35,30.43,30.16,28.91,27.87,27.02,27.28,26.31,25.37,24.40
2011,23.25,25.71,25.88,28.02,28.02,27.69,27.28,27.02,26.81,26.44,25.88,23.36
2012,24.68,26.41,28.00,29.22,28.54,27.96,27.34,27.39,26.94,27.19,26.77,25.58
2013,24.34,26.92,28.26,29.73,29.23,27.84,27.16,27.45,26.78,26.35,25.95,21.77
2014,22.11,25.47,28.15,29.45,29.39,28.38,27.79,27.34,27.30,26.91,26.42,24.19
2015,23.29,25.49,28.28,29.23,29.90,28.98,28.11,27.73,27.45,26.93,26.97,25.30
2016,24.34,25.06,28.81,31.27,30.12,28.30,28.01,27.55,27.16,27.16,26.70,24.66
2017,24.94,25.57,27.97,28.83,28.42,28.00,27.43,27.66,27.81,26.93,25.85,23.82
2018,24.46,25.07,27.72,28.36,28.28,27.79,27.45,27.08,27.38,27.34,26.46,25.61
2019,25.03,27.15,28.71,30.45,29.81,28.66,28.25,27.44,27.22,27.57,26.11,23.93
2020,25.75,26.39,28.92,29.67,30.03,28.50,28.37,27.72,27.77,25.87,26.01,24.14
2021,23.09,25.58,28.56,28.41,29.20,28.52,27.89,27.93,26.92,26.76,26.11,23.85
